账号名称,所属平台,行业分类,价格,案例,粉丝参考,是否加v,是否官媒,备注
悠闲生活志,今日头条,生活,50,https://www.toutiao.com/c/user/2959526320674428/#mid=1632135026271236,76000,否,否,空
环球热点新生活,今日头条,生活,50,https://www.toutiao.com/c/user/1631287570607991/#mid=1642379098031118,53000,否,否,空
每日生活看点,今日头条,生活,68,https://www.toutiao.com/c/user/3997465646994332/#mid=1632224802378756,240000,是,否,空
每日生活话题,今日头条,生活,68,https://www.toutiao.com/c/user/3153040640846029/#mid=1632205395783694,140000,是,否,空
每日生活百科,今日头条,生活,80,https://www.toutiao.com/c/user/3491662556837342/#mid=1660308745668615,100000,是,否,空
锅碗瓢盆乐,今日头条,生活,60,https://www.toutiao.com/c/user/3284940254611524/#mid=1639101491374088,60000,否,否,空
爱说生活,今日头条,生活,60,https://www.toutiao.com/c/user/2484521634367307/#mid=1628125441866766,52000,否,否,空
生活圈轶聞,今日头条,生活,60,https://www.toutiao.com/c/user/2695627869522989/#mid=1628126047688718,51000,否,否,空
世事生活,今日头条,生活,60,https://www.toutiao.com/c/user/2150270103724731/#mid=1628126633841671,52000,否,否,空
life控,今日头条,生活,60,https://www.toutiao.com/c/user/1763242162785731/#mid=1628165277705230,52000,否,否,空
life视点,今日头条,生活,60,https://www.toutiao.com/c/user/1217884393848119/#mid=1628164889800716,53000,否,否,空
Nolife酱,今日头条,生活,60,https://www.toutiao.com/c/user/373459463978556/#mid=1628165145913356,51000,否,否,空
假日生活记,今日头条,生活,60,https://www.toutiao.com/c/user/2027125182573415/#mid=1628223975490567,110000,否,否,空
生活过的趣,今日头条,生活,60,https://www.toutiao.com/c/user/1798426762423070/#mid=1628223636787212,53000,否,否,空
趣闻生活周,今日头条,生活,60,https://www.toutiao.com/c/user/355867508870541/#mid=1628224090717196,51000,否,否,空
统计生活大数据,今日头条,生活,60,https://www.toutiao.com/c/user/2150270261275549/#mid=1628166677835784,54000,否,否,空
详情生活热点,今日头条,生活,60,https://www.toutiao.com/c/user/3399315469376647/#mid=1628166531404803,110000,否,否,空
生活开幕会,今日头条,生活,60,https://www.toutiao.com/c/user/2079901516042004/#mid=1628166421579788,100000,否,否,空
生活圈圈事,今日头条,生活,40,https://www.toutiao.com/c/user/108979511083/#mid=1620113180780547,100000,否,否,空
爱说生活,今日头条,生活,60,https://www.toutiao.com/c/user/2484521634367307/#mid=1628125441866766,52000,否,否,空
生活圈轶聞,今日头条,生活,60,https://www.toutiao.com/c/user/2695627869522989/#mid=1628126047688718,51000,否,否,空
世事生活,今日头条,生活,60,https://www.toutiao.com/c/user/2150270103724731/#mid=1628126633841671,52000,否,否,空
life控,今日头条,生活,60,https://www.toutiao.com/c/user/1763242162785731/#mid=1628165277705230,52000,否,否,空
life视点,今日头条,生活,60,https://www.toutiao.com/c/user/1217884393848119/#mid=1628164889800716,53000,否,否,空
Nolife酱,今日头条,生活,60,https://www.toutiao.com/c/user/373459463978556/#mid=1628165145913356,51000,否,否,空
假日生活记,今日头条,生活,60,https://www.toutiao.com/c/user/2027125182573415/#mid=1628223975490567,110000,否,否,空
生活过的趣,今日头条,生活,60,https://www.toutiao.com/c/user/1798426762423070/#mid=1628223636787212,53000,否,否,空
趣闻生活周,今日头条,生活,60,https://www.toutiao.com/c/user/355867508870541/#mid=1628224090717196,51000,否,否,空
详情生活热点,今日头条,生活,60,https://www.toutiao.com/c/user/3399315469376647/#mid=1628166531404803,110000,否,否,空
生活开幕会,今日头条,生活,60,https://www.toutiao.com/c/user/2079901516042004/#mid=1628166421579788,100000,否,否,空
生活乐事家,今日头条,生活,60,https://www.toutiao.com/c/user/575743574678796/#mid=1639094083800072,60000,否,否,空
生活焦点报,今日头条,生活,100,https://www.toutiao.com/c/user/77811321091/#mid=1585287299988494,100000,否,否,空
生活健康评,今日头条,生活,100,https://www.toutiao.com/c/user/1719284922320091/#mid=1651771757486088,100000,是,否,空
寰球时尚生活,今日头条,生活,50,https://www.toutiao.com/c/user/106197347370/#mid=1616440559252494,100000,否,否,空
新锐生活乐,今日头条,生活,30,https://www.toutiao.com/c/user/106167183283/,50206,否,否,空
生活行天下,今日头条,生活,30,https://www.toutiao.com/c/user/106167337624/,50167,否,否,空
生活最新潮,今日头条,生活,30,https://www.toutiao.com/c/user/106162905749/,50116,否,否,空
高端潮生活,今日头条,生活,50,https://www.toutiao.com/c/user/3082661731243198/#mid=1629603028011011,69830,否,否,空
热点生活捷讯,今日头条,生活,50,https://www.toutiao.com/c/user/4402075570013165/#mid=1629573704862728,116116,否,否,空
品玩经典生活,今日头条,生活,50,https://www.toutiao.com/c/user/1182705649460829/#mid=1629605630907399,117039,否,否,空
